script_text,prompt_img_nano,prompt_video_veo3
若いころは、起きればすぐに動ける方も多かったかもしれません。,"Generate a clean editorial manga illustration in a seinen soft educational style. A younger Japanese adult (age 30s, dark hair) springs out of bed energetically in a small Japanese apartment, morning sunlight streaming in — shown as a brief memory or contrast. Clean editorial composition, warm morning colors. No readable text. Avoid photorealistic drift, avoid cluttered background.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
でも年齢を重ねると、体が活動モードに切り替わるまでに、少し時間がかかるようになるんですね。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, gentle wrinkles, age 65-75) sits on the edge of their bed in a Japanese bedroom, body language showing gradual awakening — stretching arms slowly, eyes half-open. A subtle visual metaphor of a dimmer switch turning slowly. Soft morning light, low-saturation warm palette. No readable text. Avoid photorealistic drift, avoid youth drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
たとえて言えば、エンジンが温まるまでに少し待たないといけない車のようなものです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A gentle metaphorical scene: a small older-model car (Japanese kei car style) with the engine warming up, steam rising gently from the hood, parked in a quiet Japanese residential street in early morning light. Symbolic of the body needing time to warm up. Clean composition, warm flat colors, panel-like clarity. No readable text. Avoid photorealistic drift, avoid busy clutter.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
朝の光を浴びること、食事をとること、体を少し動かすこと。,"Generate a clean editorial manga illustration in a seinen soft educational style. A triptych-like composition showing three morning signals side by side: soft morning sunlight through a Japanese window, a simple Japanese breakfast tray (rice, miso soup), and a pair of indoor slippers suggesting gentle movement. Clean panel-like layout, warm morning palette, educational clarity. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
こうした信号が体に届いて、はじめてエンジンがかかります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: the same three morning signals (light, food, movement) shown as gentle glowing arrows reaching toward a calm human silhouette whose internal glow is now brightening — the engine starting. Clean editorial metaphor, warm flat colors, low clutter. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
逆に、こうした信号がうまく届かないと、体はいつまでも半分眠ったままになりやすいんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A contrasting symbolic scene: the same human silhouette sits in a dim room with curtains closed, no breakfast visible, no movement — the internal glow remains dim and the body stays in half-sleep mode. Muted cool tones with faint warm accents suggesting missed signals. Clean composition. No readable text. Avoid photorealistic drift, avoid dramatic expression.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
夜の間に汗や呼吸で水分が減り、体は軽い脱水状態で朝を迎えています。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, gentle wrinkles, age 65-75) lies in bed in a small Japanese bedroom, subtle visual cues of mild dehydration: a dry glass on the nightstand, thin lines of perspiration on the pillow. Early pre-dawn light, muted warm palette. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic medical imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
関節もこわばりやすく、自律神経の切り替えもゆっくりです。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, visible wrinkles, age 65-75) sits up in bed slowly, rubbing stiff shoulder joints with one hand, expression showing mild morning stiffness. Japanese bedroom with futon, early morning light. Flat soft colors, low-saturation neutrals. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic pain expression.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
だからこそ、朝のちょっとした習慣が、一日の疲れやすさに影響しやすくなります。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles sits at a Japanese table, one hand gently emphasizing a point with a calm serious expression, conveying the importance of morning habits. Same Japanese living room, same morning light, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
では、具体的にどんな習慣に気をつけたいのか、ひとつ目から見ていきましょう。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair raises one index finger gently, transitional gesture suggesting the first point, calm educational expression. Same Japanese living room, same wardrobe family, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
それは、朝ごはんを食べない、あるいは後回しにしてしまうことです。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese man (silver-gray hair, facial wrinkles, age 65-75) stands at a Japanese kitchen counter, skipping breakfast — the table is empty except for a single cup of black coffee. Morning light from a small kitchen window. Practical Japanese senior casualwear. Flat soft colors. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
朝はお腹が空かないから、コーヒーだけで済ませている。,"Generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese man (silver-gray hair, wrinkles) sits at an empty Japanese dining table mid-morning, drinking only coffee with no food, looking slightly low-energy. Same Japanese apartment kitchen, daylight now brighter. Same wardrobe family. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
あるいは、起きて2時間くらいしてからやっと何か食べる。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) finally eats a small rice ball at her Japanese kitchen table, but a wall clock behind her shows late morning (around 10 or 11). She looks somewhat tired. Ordinary Japanese apartment kitchen. Flat soft colors. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
そういう方も少なくありません。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) shrugs lightly with a mild expression of acceptance, sitting at an empty Japanese breakfast table — acknowledging this skipping habit is common. Simple Japanese dining area, morning light. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic expression.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
ただ、朝ごはんには、体の中の時計をリセットする大切な役割があるんです。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration: a gentle clock icon inside a human torso silhouette, with a breakfast tray (rice, miso soup, small side dish) acting as the reset button. Warm educational metaphor, clean panel-like composition, flat soft colors. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
食事をとることで体温が上がり、脳や筋肉が今日が始まったと認識します。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic split: on one side, a person eating breakfast with a warm internal glow and rising body temperature indicator; on the other side, a brain and muscle shapes brightening. Clean educational metaphor, warm flat colors, low clutter, panel-like layout. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
これが抜けてしまうと、体はいつまでもまだ夜のままで動こうとするんですね。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic contrasting scene: a dim body silhouette with an inactive internal clock, still in nighttime mode despite daylight outside the window. Muted cool tones suggesting the body has not switched to daytime. Clean educational composition. No readable text. Avoid photorealistic drift, avoid dramatic imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
結果として、エネルギーが出にくくなり、午前中の疲れにつながりやすくなります。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) slumps slightly at a desk mid-morning, low energy, a faint battery-low icon subtly suggested near them. Japanese home office or living room, flat daylight. Clean educational composition, warm flat colors. No readable text. Avoid photorealistic drift, avoid youth drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
厚生労働省も、高齢者の朝食を大切な栄養補給の機会として位置づけています。,"Generate a clean editorial manga illustration in a seinen soft educational style. A close-up of a simple Japanese government health guideline pamphlet or booklet lying on a Japanese kitchen table, with a small breakfast tray beside it — suggesting official nutritional guidance. Warm flat colors, clean editorial composition. No readable text. Avoid photorealistic drift, avoid fake scientific proof imagery.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
特にたんぱく質が不足すると筋力が落ちやすくなり、フレイルと呼ばれる体の衰弱につながることがあります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration showing muscle fibers and a protein molecule gradually weakening, with a subtle arrow pointing toward the word concept of frailty — depicted as a person's silhouette becoming slightly translucent. Clean educational metaphor, muted warm palette, low clutter. No readable text. Avoid photorealistic drift, avoid dramatic medical imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
とはいえ、無理にしっかり食べる必要はありません。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a calming open-palm gesture, reassuring expression suggesting no pressure needed. Same Japanese living room, same wardrobe family, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ヨーグルトにバナナを添えたり、卵かけご飯を一杯だけ用意したり。,"Generate a clean editorial manga illustration in a seinen soft educational style. A close-up of a simple Japanese breakfast: a small bowl of yogurt with sliced banana on top, and beside it a small bowl of egg-on-rice (tamago kake gohan). Clean Japanese kitchen table surface, warm morning light, flat soft colors. No readable text. Avoid photorealistic drift, avoid cluttered background.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
それだけでも、体へのおはようの合図になります。,"Generate a clean editorial manga illustration in a seinen soft educational style. A gentle symbolic scene: a small Japanese breakfast tray with minimal food glowing softly like a morning greeting signal reaching a calm body silhouette. Warm sunrise-like palette, clean editorial composition, educational metaphor tone. No readable text. Avoid infographic overload, avoid photorealistic drift.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
食欲がない朝は、牛乳を一杯飲むだけでも十分です。,"Generate a clean editorial manga illustration in a seinen soft educational style. A close-up of a single glass of milk on a Japanese kitchen counter, simple and inviting, with soft morning light catching the glass. Minimal composition, warm flat colors, gentle warm accents. No readable text. Avoid photorealistic drift, avoid cluttered background.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
大事なのは、毎朝少しでも何かを口にする習慣をつけることですね。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles gives a small affirming nod while resting one hand on the table near a simple breakfast setting, calm concluding expression for this section. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ふたつ目は、起きてすぐに冷たい水を飲むことです。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair raises two fingers gently, transitional gesture introducing the second habit, calm educational expression. Same Japanese living room, same wardrobe family, soft morning light. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
冷蔵庫から出したばかりの冷たい水を、朝いちばんに一気に飲んでいませんか。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese woman (silver-white hair, gentle wrinkles, age 65-75) stands at her Japanese kitchen, pouring cold water from a refrigerator bottle into a glass first thing in the morning. Japanese kitchen interior, early morning light, practical senior casualwear. Flat soft colors. No readable text. Avoid photorealistic drift, avoid youth drift.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
体が温まりきっていない朝は、冷たいものが胃腸に少し負担をかけることがあります。,"Generate a clean editorial manga illustration in a seinen soft educational style. An older Japanese person (silver-gray hair, wrinkles, age 65-75) in a Japanese kitchen, morning, holding stomach slightly with a mildly uncomfortable expression after drinking cold water too quickly. Same Japanese kitchen, early morning light. No readable text. Avoid photorealistic drift, avoid youth drift, avoid dramatic pain expression.","Gentle tracking camera motion. The older person performs the daily action with slow, natural weight and momentum, showing subtle facial reactions. Soft indoor light drifts slightly. Calm everyday mood. (Silent video, no audio). No speaking, no lip sync, no rapid cuts, no unnatural morphing, no intense action."
胃の周りの血管が縮まって、一時的にお腹の調子が乱れる方もいらっしゃいます。,"Generate a clean editorial manga illustration in a seinen soft educational style. A gentle symbolic close-up: stomach area with blood vessels constricting slightly around the stomach wall after cold water contact, shown as a calm educational cross-section metaphor. Muted cool-to-warm gradient, clean composition. No readable text. Avoid infographic overload, avoid photorealistic drift, avoid graphic medical imagery.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
また、年齢を重ねると体温を調節する力が少しずつ変わってきます。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic illustration of an older person's body silhouette (silver hair visible) with a gentle thermometer icon showing the body's temperature regulation becoming less responsive with age. Clean educational metaphor, low-saturation warm palette. No readable text. Avoid photorealistic drift, avoid infographic overload.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
そのため、冷たい刺激に対して体が敏感に反応しやすくなることもあるんですね。,"Generate a clean editorial manga illustration in a seinen soft educational style. A symbolic scene showing cold stimulation (ice crystal motif) meeting a sensitive older body (silver-haired silhouette), with gentle ripple effects suggesting heightened sensitivity. Clean educational metaphor, cool-to-warm palette transition. No readable text. Avoid photorealistic drift, avoid dramatic expression.","Slow smooth panning motion. The symbolic elements shift gently with subtle internal glows or slow arrows moving smoothly. The human silhouette breathes slowly. Educational and calm mood. (Silent video, no audio). No speaking, no rapid animation, no chaotic movement, no unnatural morphing."
もちろん、冷たい水がお好きな方は、それでも大丈夫です。,"Using the provided reference image(s), generate a clean editorial manga illustration in a seinen soft educational style. The same older Japanese woman host with silver-gray hair and gentle wrinkles makes a reassuring open-palm gesture, calm accepting expression conveying that cold water is fine if preferred. Same Japanese living room, same wardrobe family. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, avoid photorealistic drift.","Slow smooth camera push-in. The older Japanese host makes subtle natural micro-movements, breathing calmly, hands moving softly or resting, gentle facial expression. Soft morning light remains stable in the room. Warm educational mood. (Silent video, no audio). No lip movement, no speaking, no lip sync, no unnatural morphing, no dramatic camera shake."
ただ、もしお腹が気になるようでしたら、常温のお水や白湯を試してみてください。,"Generate a clean editorial manga illustration in a seinen soft educational style. A close-up comparison on a Japanese kitchen counter: a glass of room-temperature water and a small cup of warm plain hot water (sayu) side by side, both inviting. Clean warm morning light, flat soft colors, low clutter. No readable text. Avoid photorealistic drift.","Very slow camera push-in. The object remains stable with subtle light reflections shifting slowly across its surface. Gentle dust motes or steam may drift slightly in the air. Clean editorial mood. (Silent video, no audio). No speaking, no chaotic movement, no unnatural morphing."
