unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,line_context_frame,prompt_img_nano
10,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""そこは大切ですが、今日は別の角度から、朝の重さを見ていきましょう。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: そこは大切ですが、今日は別の角度から、朝の重さを見ていきましょう。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
11,opening,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""まず知っておきたいのは、朝のだるさは、気合いの問題だけではないということです。"", ""visualizable_core"": ""heavy morning scene"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""opening"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture sitting quietly at the edge of a bed or futon in a dim morning Japanese room, body feeling heavy but safe and calm. Closed curtains with faint dawn light, rumpled bedding, no medical emergency cues. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: まず知っておきたいのは、朝のだるさは、気合いの問題だけではないということです。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
12,explanation,process_metaphor,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""体には、一日のリズムを作る時計のような働きがあります。"", ""visualizable_core"": ""senior wellness explanation"", ""scene_function"": ""process_metaphor"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""explanation"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A calm educational metaphor scene for senior wellness, showing the body clock as soft morning light entering a Japanese home with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture nearby. Low-clutter symbolic composition, no fake scientific proof, no medical devices. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 体には、一日のリズムを作る時計のような働きがあります。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
13,night_environment,environment_bridge,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""この時計がうまく朝に合わないと、目は覚めていても、体の中はまだ夜の続きのようになります。"", ""visualizable_core"": ""bedroom environment"", ""scene_function"": ""environment_bridge"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""night_environment"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A quiet Japanese bedroom scene with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture preparing a calmer sleep environment, dim warm lamp, smartphone placed away from the pillow, bedding arranged neatly. Evening atmosphere, darkened room, calm household props, no visible screen content. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: この時計がうまく朝に合わないと、目は覚めていても、体の中はまだ夜の続きのようになります。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
14,explanation,environment_bridge,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""さらに、前の晩の眠りが浅かったり、途中で何度も目が覚めたりすると、朝の回復感が弱くなります。"", ""visualizable_core"": ""senior wellness explanation"", ""scene_function"": ""environment_bridge"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""explanation"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A calm educational metaphor scene for senior wellness, showing the body clock as soft morning light entering a Japanese home with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture nearby. Low-clutter symbolic composition, no fake scientific proof, no medical devices. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: さらに、前の晩の眠りが浅かったり、途中で何度も目が覚めたりすると、朝の回復感が弱くなります。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
15,explanation,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""自分では寝たつもりでも、体はあまり休めていないことがあるんですね。"", ""visualizable_core"": ""senior wellness explanation"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""explanation"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A calm educational metaphor scene for senior wellness, showing the body clock as soft morning light entering a Japanese home with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture nearby. Low-clutter symbolic composition, no fake scientific proof, no medical devices. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 自分では寝たつもりでも、体はあまり休めていないことがあるんですね。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
16,record_consult,object_focus,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""だから、朝だけを見ても、原因がわかりにくいことがあります。"", ""visualizable_core"": ""simple notebook and consultation cue"", ""scene_function"": ""object_focus"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""record_consult"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A close calm view of weathered senior hands writing simple marks in a small notebook, or holding it during an ordinary routine clinic consultation context. Ordinary Japanese home table or calm clinic waiting space, blank-looking notebook pages with no readable text. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: だから、朝だけを見ても、原因がわかりにくいことがあります。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
17,night_environment,environment_bridge,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""朝、夜、そして体からのサインを、落ち着いて分けて見ていくことが大切です。"", ""visualizable_core"": ""bedroom environment"", ""scene_function"": ""environment_bridge"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""night_environment"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A quiet Japanese bedroom scene with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture preparing a calmer sleep environment, dim warm lamp, smartphone placed away from the pillow, bedding arranged neatly. Evening atmosphere, darkened room, calm household props, no visible screen content. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 朝、夜、そして体からのサインを、落ち着いて分けて見ていくことが大切です。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
18,three_points,comparison_pair,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""では、一つ目の見直しです。"", ""visualizable_core"": ""three gentle review areas"", ""scene_function"": ""comparison_pair"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""three_points"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A clean side-by-side educational composition showing morning window light, quiet bedroom, and a simple notebook without any text. Balanced panel-like layout, Japanese home cues, clear but not infographic-like. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: では、一つ目の見直しです。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
19,explanation,environment_bridge,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""朝、部屋が暗いまま長い時間を過ごしていませんか。"", ""visualizable_core"": ""senior wellness explanation"", ""scene_function"": ""environment_bridge"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""explanation"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A calm educational metaphor scene for senior wellness, showing the body clock as soft morning light entering a Japanese home with a visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture nearby. Low-clutter symbolic composition, no fake scientific proof, no medical devices. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 朝、部屋が暗いまま長い時間を過ごしていませんか。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
20,morning_light,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""起きてもカーテンを閉めたまま、薄暗い部屋でぼんやり座っている。"", ""visualizable_core"": ""window daylight and curtain"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""morning_light"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture gently opening curtains or sitting near a bright window in an ordinary Japanese apartment morning, showing natural daylight without rushing. Soft dawn-to-morning light, tidy tatami or simple bedroom/living room details, practical senior home clothing, low clutter. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 起きてもカーテンを閉めたまま、薄暗い部屋でぼんやり座っている。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
21,morning_light,everyday_example,no_host,no_readable_text,,text_to_image,"{""semantic_target"": ""雨戸や遮光カーテンを閉めたまま、気がつくと午前中が過ぎている。"", ""visualizable_core"": ""window daylight and curtain"", ""scene_function"": ""everyday_example"", ""subject_lock"": ""visible Japanese senior daily-life subject or object-focused cue"", ""context_lock"": ""morning_light"", ""visible_text_need"": ""none"", ""risk_guardrails"": ""no panic, no diagnosis, no repeated vid_001/vid_002 scenes"", ""demographic_lock"": ""silver-gray hair, wrinkles, weathered hands, age-appropriate posture""}","Generate a clean editorial manga illustration in a seinen soft educational style, old-school two-dimensional anime influence, clean ink line art, restrained screentone, flat soft low-saturation colors, warm neutral accents, panel-like clarity, low clutter. A visibly elderly Japanese senior with silver-gray hair, fine wrinkles around the eyes, slightly weathered hands, and relaxed age-appropriate posture gently opening curtains or sitting near a bright window in an ordinary Japanese apartment morning, showing natural daylight without rushing. Soft dawn-to-morning light, tidy tatami or simple bedroom/living room details, practical senior home clothing, low clutter. Keep ordinary Japanese domestic cues, practical senior clothing, soft low-saturation colors, and clear panel-like composition. The image should support this narration beat: 雨戸や遮光カーテンを閉めたまま、気がつくと午前中が過ぎている。 No readable text, no numerals, no speech bubbles, no subtitles, avoid photorealism, avoid panic, avoid youthful skin or youthful posture."
