unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
10,first_frame_only,daily_pause_observe,6,expert_emphasis,the heavy but safe morning posture,"Focused motion beat 11 for heavy morning scene. expert emphasis role; Soft overhead-to-front tilt; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
11,first_frame_only,object_inspection_push,8,solution_demo,the heavy but safe morning posture,"Focused motion beat 12 for heavy morning scene. solution demo role; Measured parallax hold; the subject slowly lifts the head and breathes calmly without speaking. Keep attention on the heavy but safe morning posture. curtain shadows move faintly in the dim morning light. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
12,first_frame_only,process_layer_drift,4,danger_reveal,the quiet explanatory cue,"Focused motion beat 13 for senior wellness explanation. danger reveal role; Calm push-in; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
13,first_frame_only,comparison_parallax_hold,6,near_miss,the calmer sleep environment,"Focused motion beat 14 for bedroom environment. near miss role; Subtle rightward pan; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
14,first_frame_only,environment_breathing_pan,6,contrast,the quiet explanatory cue,"Focused motion beat 15 for senior wellness explanation. contrast role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
15,first_frame_only,daily_action_follow,8,checklist,the quiet explanatory cue,"Focused motion beat 16 for senior wellness explanation. checklist role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
16,first_frame_only,process_signal_pulse,4,expert_emphasis,the simple note-taking action,"Focused motion beat 17 for simple notebook and consultation cue. expert emphasis role; Slow forward drift; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
17,first_frame_only,object_in_use_micro,6,solution_demo,the calmer sleep environment,"Focused motion beat 18 for bedroom environment. solution demo role; Gentle lateral slide; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
18,first_frame_only,comparison_reveal_shift,6,danger_reveal,the review areas,"Focused motion beat 19 for three gentle review areas. danger reveal role; Soft overhead-to-front tilt; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
19,first_frame_only,environment_observe_tilt,8,near_miss,the quiet explanatory cue,"Focused motion beat 20 for senior wellness explanation. near miss role; Measured parallax hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
20,first_frame_only,daily_pause_observe,4,contrast,the daylight entering the room,"Focused motion beat 21 for window daylight and curtain. contrast role; Calm push-in; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
21,first_frame_only,object_inspection_push,6,checklist,the daylight entering the room,"Focused motion beat 22 for window daylight and curtain. checklist role; Subtle rightward pan; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
22,first_frame_only,process_layer_drift,6,expert_emphasis,the quiet explanatory cue,"Focused motion beat 23 for senior wellness explanation. expert emphasis role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
23,first_frame_only,comparison_parallax_hold,8,solution_demo,the daylight entering the room,"Focused motion beat 24 for window daylight and curtain. solution demo role; Steady observational hold; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
24,first_frame_only,environment_breathing_pan,4,danger_reveal,the quiet explanatory cue,"Focused motion beat 25 for senior wellness explanation. danger reveal role; Slow forward drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
25,first_frame_only,daily_action_follow,6,near_miss,the daylight entering the room,"Focused motion beat 26 for window daylight and curtain. near miss role; Gentle lateral slide; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
26,first_frame_only,process_signal_pulse,6,contrast,the daylight entering the room,"Focused motion beat 27 for window daylight and curtain. contrast role; Soft overhead-to-front tilt; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
27,first_frame_only,object_in_use_micro,8,checklist,the daylight entering the room,"Focused motion beat 28 for window daylight and curtain. checklist role; Measured parallax hold; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
28,first_frame_only,comparison_reveal_shift,4,expert_emphasis,the quiet explanatory cue,"Focused motion beat 29 for senior wellness explanation. expert emphasis role; Calm push-in; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
29,first_frame_only,environment_observe_tilt,6,solution_demo,the quiet explanatory cue,"Focused motion beat 30 for senior wellness explanation. solution demo role; Subtle rightward pan; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
30,first_frame_only,daily_pause_observe,6,danger_reveal,the daylight entering the room,"Focused motion beat 31 for window daylight and curtain. danger reveal role; Slow reveal drift; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
31,first_frame_only,object_inspection_push,8,near_miss,the daylight entering the room,"Focused motion beat 32 for window daylight and curtain. near miss role; Steady observational hold; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
32,first_frame_only,process_layer_drift,4,contrast,the daylight entering the room,"Focused motion beat 33 for window daylight and curtain. contrast role; Slow forward drift; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
33,first_frame_only,comparison_parallax_hold,6,checklist,the review areas,"Focused motion beat 34 for three gentle review areas. checklist role; Gentle lateral slide; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
34,first_frame_only,environment_breathing_pan,6,expert_emphasis,the calmer sleep environment,"Focused motion beat 35 for bedroom environment. expert emphasis role; Soft overhead-to-front tilt; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
35,first_frame_only,daily_action_follow,8,solution_demo,the calmer sleep environment,"Focused motion beat 36 for bedroom environment. solution demo role; Measured parallax hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
36,first_frame_only,process_signal_pulse,4,danger_reveal,the daylight entering the room,"Focused motion beat 37 for window daylight and curtain. danger reveal role; Calm push-in; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
37,first_frame_only,object_in_use_micro,6,near_miss,the daylight entering the room,"Focused motion beat 38 for window daylight and curtain. near miss role; Subtle rightward pan; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
38,first_frame_only,comparison_reveal_shift,6,contrast,the quiet explanatory cue,"Focused motion beat 39 for senior wellness explanation. contrast role; Slow reveal drift; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
39,first_frame_only,environment_observe_tilt,8,checklist,the quiet explanatory cue,"Focused motion beat 40 for senior wellness explanation. checklist role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
40,first_frame_only,daily_pause_observe,4,expert_emphasis,the body-signal awareness cue,"Focused motion beat 41 for calm symptom awareness. expert emphasis role; Slow forward drift; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
41,first_frame_only,object_inspection_push,6,solution_demo,the calmer sleep environment,"Focused motion beat 42 for bedroom environment. solution demo role; Gentle lateral slide; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
42,first_frame_only,process_layer_drift,6,danger_reveal,the daylight entering the room,"Focused motion beat 43 for window daylight and curtain. danger reveal role; Soft overhead-to-front tilt; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
43,first_frame_only,comparison_parallax_hold,8,near_miss,the calmer sleep environment,"Focused motion beat 44 for bedroom environment. near miss role; Measured parallax hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
44,first_frame_only,environment_breathing_pan,4,contrast,the quiet explanatory cue,"Focused motion beat 45 for senior wellness explanation. contrast role; Calm push-in; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
45,first_frame_only,daily_action_follow,6,checklist,the quiet explanatory cue,"Focused motion beat 46 for senior wellness explanation. checklist role; Subtle rightward pan; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
46,first_frame_only,process_signal_pulse,6,expert_emphasis,the daylight entering the room,"Focused motion beat 47 for window daylight and curtain. expert emphasis role; Slow reveal drift; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
47,first_frame_only,object_in_use_micro,8,solution_demo,the calmer sleep environment,"Focused motion beat 48 for bedroom environment. solution demo role; Steady observational hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
48,first_frame_only,comparison_reveal_shift,4,danger_reveal,the calmer sleep environment,"Focused motion beat 49 for bedroom environment. danger reveal role; Slow forward drift; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
49,first_frame_only,environment_observe_tilt,6,near_miss,the quiet explanatory cue,"Focused motion beat 50 for senior wellness explanation. near miss role; Gentle lateral slide; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
50,first_frame_only,daily_pause_observe,6,contrast,the quiet explanatory cue,"Focused motion beat 51 for senior wellness explanation. contrast role; Soft overhead-to-front tilt; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
51,first_frame_only,object_inspection_push,8,checklist,the calmer sleep environment,"Focused motion beat 52 for bedroom environment. checklist role; Measured parallax hold; the hand places the phone farther from the pillow or smooths the bedding in one small action. Keep attention on the calmer sleep environment. the lamp glow steadies and the curtain edge barely shifts. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
52,first_frame_only,process_layer_drift,4,expert_emphasis,the daylight entering the room,"Focused motion beat 53 for window daylight and curtain. expert emphasis role; Calm push-in; the hand eases the curtain slightly while daylight grows softly across the floor. Keep attention on the daylight entering the room. dust motes drift in the beam and fabric edges move subtly. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
53,first_frame_only,comparison_parallax_hold,6,solution_demo,the review areas,"Focused motion beat 54 for three gentle review areas. solution demo role; Subtle rightward pan; the camera glides from the window-light area toward the notebook area in a restrained comparison. Keep attention on the review areas. subtle parallax separates the review areas. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
54,first_frame_only,environment_breathing_pan,6,danger_reveal,the simple note-taking action,"Focused motion beat 55 for simple notebook and consultation cue. danger reveal role; Slow reveal drift; the hand adds a small mark to the notebook or gently closes it after checking. Keep attention on the simple note-taking action. paper edges lift slightly with the movement. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
55,first_frame_only,daily_action_follow,8,near_miss,the quiet explanatory cue,"Focused motion beat 56 for senior wellness explanation. near miss role; Steady observational hold; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
56,first_frame_only,process_signal_pulse,4,contrast,the body-signal awareness cue,"Focused motion beat 57 for calm symptom awareness. contrast role; Slow forward drift; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
57,first_frame_only,object_in_use_micro,6,checklist,the body-signal awareness cue,"Focused motion beat 58 for calm symptom awareness. checklist role; Gentle lateral slide; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
58,first_frame_only,comparison_reveal_shift,6,expert_emphasis,the body-signal awareness cue,"Focused motion beat 59 for calm symptom awareness. expert emphasis role; Soft overhead-to-front tilt; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
59,first_frame_only,environment_observe_tilt,8,solution_demo,the body-signal awareness cue,"Focused motion beat 60 for calm symptom awareness. solution demo role; Measured parallax hold; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
60,first_frame_only,daily_pause_observe,4,danger_reveal,the body-signal awareness cue,"Focused motion beat 61 for calm symptom awareness. danger reveal role; Calm push-in; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
61,first_frame_only,object_inspection_push,6,near_miss,the quiet explanatory cue,"Focused motion beat 62 for senior wellness explanation. near miss role; Subtle rightward pan; the symbolic light cue drifts gently across the composition. Keep attention on the quiet explanatory cue. soft layered parallax suggests the body clock settling. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
62,first_frame_only,process_layer_drift,6,contrast,the body-signal awareness cue,"Focused motion beat 63 for calm symptom awareness. contrast role; Slow reveal drift; the subject makes a small thoughtful pause and adjusts posture safely. Keep attention on the body-signal awareness cue. soft morning light changes gently around the bedside. Preserve the calm senior-friendly educational mood and the existing illustration style. (Silent video, no audio). No dialogue, no lip sync, no direct-to-camera speech, no singing, no chanting, no new readable text, no character redesign, no scene redesign."
