unit_index,i2v_mode,motion_strategy,recommended_duration_sec,prompt_video_veo3
68,first_frame_only,daily_action_follow,6,"Gentle follow. The woman takes a step from the warm zone toward the cool zone. The warm-to-cool color gradient shifts across the frame as she moves. Preserve the transition effect and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
69,first_frame_only,object_inspection_push,6,"Slow push toward the cooling supplies. The ice pack shows a faint cool-blue condensation effect. The cooling-point indicators on the body silhouette pulse with a gentle blue glow. Preserve object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
70,first_frame_only,daily_pause_observe,6,"Gentle push. The woman raises the glass slowly to her lips and takes a small sip, then lowers it carefully. Her expression remains calm and deliberate. Preserve the recovery scene and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
71,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman raises her hand in a soft stop gesture, fingers spreading slightly. Her expression is calm but earnest. Soft daylight shifts on the wall. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
72,first_frame_only,daily_action_follow,6,"Gentle push. The woman holds the phone near her ear, her free hand resting on the table. A subtle reassurance cue — gentle light around the phone. Preserve the calm contact-for-help mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
73,first_frame_only,daily_pause_observe,6,"Slow push. The woman lying on the futon shifts very slightly. The hazy confusion aura around her head pulses faintly. The nearby phone catches a dim light. Preserve the disoriented state depiction and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
74,first_frame_only,process_layer_drift,4,"Gentle lateral drift along the timeline arrow. The calm left side transitions to the safety shield icon on the right, which pulses with a protective glow. Preserve the symbolic composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
75,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the neighborhood. Leaves on a tree sway gently in a summer breeze. A neighbor figure waves faintly from a doorway. Soft summer sky light shifts. Preserve the community warmth mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
76,first_frame_only,daily_pause_observe,6,"Gentle push. Both elderly women exchange a gentle wave. The neighbor's hand rises slightly. Clothing shifts with a subtle breeze. Preserve the friendly neighborhood mood and character identities. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
77,first_frame_only,daily_pause_observe,6,"Gentle push. The two elderly women shift weight slightly, one raising a hand in a gentle health-check wave. Background tree leaves sway in a breeze. Preserve the community connection mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
78,first_frame_only,environment_observe_tilt,6,"Slow observe tilt upward across the building exterior. The signboard catches a subtle light shift. The entrance area brightens gently with welcoming warmth. Preserve the public building identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
79,first_frame_only,environment_breathing_pan,6,"Gentle breathing pan across the consultation office. The staff member shifts slightly in their chair. Warm daylight moves across the desk surface. Preserve the welcoming supportive atmosphere. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
80,first_frame_only,daily_action_follow,6,"Gentle push. The welfare commissioner gestures warmly toward the elderly resident at the door. The resident shifts weight slightly in response. Preserve the supportive visitation mood and character identities. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
81,first_frame_only,comparison_reveal_shift,4,"Gentle lateral shift between the two support concepts. The AC subsidy icon on the left brightens, then the cooling station icon on the right brightens. Preserve the support-concept composition. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
82,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman clasps her hands together gently, fingers interlacing. Her expression shows calm appreciation. Soft daylight shifts. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
83,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman gestures warmly with one hand, fingers opening in an encouraging motion. Soft daylight moves across the room. Preserve the warm encouraging mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
84,first_frame_only,daily_pause_observe,6,"Gentle push. The woman looks down at the tablet or pamphlet, her finger scrolling slowly across the page. Light shifts on the table surface. Preserve the information-seeking mood and exact character identity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
85,first_frame_only,environment_breathing_pan,6,"Slow breathing pan across the summary scene. Warm daylight shifts on the three objects — thermometer, glass, notebook — each catching a brief highlight. Preserve the calm summary mood and checklist layout. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
86,first_frame_only,object_inspection_push,4,"Gentle push toward the thermometer icon. The checkmark brightens with a gentle green glow. Preserve the pillar-one summary and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
87,first_frame_only,object_inspection_push,4,"Gentle push toward the barley tea icon. The checkmark brightens with a gentle green glow. Preserve the pillar-two summary and object clarity. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
88,first_frame_only,process_signal_pulse,4,"Gentle push toward the body silhouette. The awareness indicators pulse gently, and the checkmark brightens. Preserve the pillar-three summary. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
89,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman smiles warmly, her posture relaxed and content. Soft daylight glows on the room. Preserve the reassuring closing mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
90,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman extends her open palm forward gently, fingers relaxed. Her expression is encouraging. Light shifts softly. Preserve the exact character identity and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
91,first_frame_only,host_listening_drift,6,"Slow lateral drift. The woman rests her hands calmly on her lap, one over the other. She breathes gently. Preserve the calm gentle mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
92,first_frame_only,daily_pause_observe,6,"Gentle push. The woman and doctor sit calmly. The doctor makes a small supportive nod. Light shifts across the desk. Preserve the consultation mood and character identities. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
93,first_frame_only,environment_breathing_pan,8,"Slow breathing pan across the evening neighborhood. Tree leaves sway gently. Golden hour light shifts across rooftops and a garden. The sky subtly warms. Preserve the peaceful summer closing mood. (Silent video, no audio). No lip sync, no speech, no new readable text, no ambient audio."
94,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman bows gently, her head lowering and rising with a thankful motion. Soft daylight moves on the room. Preserve the warm grateful mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."
95,first_frame_only,host_gentle_push,6,"Gentle slow push. The woman nods once with a calm, composed finality. Her shoulders settle. Soft daylight glows warmly. Preserve the final appreciative mood, exact character identity, and existing appearance. (Silent video, no audio). No lip sync, no speech, no direct-to-camera address, no new readable text, no ambient audio."

