unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano
10,SG02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same metaphor: a gentle diagram-like illustration showing skin surface with faded sensor signals, representing dulled temperature perception in aging. Warm muted tones. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
11,SG02,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) in a warm room, comfortable expression despite the room being visibly warm. She does not notice the heat. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
12,SG02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Clean symbolic scene: gentle body silhouette with subtle warmth indicators, representing natural aging changes. Reassuring, not alarming. Warm earth tones. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
13,SG02,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Simple infographic-style illustration: a bar showing 57 percent highlighted, with a silhouette of an elderly person. Clean, factual, no drama. Warm muted palette. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
14,SG02,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A cross-section view of a Japanese apartment interior showing that heat incidents happen most often indoors. Simple architectural illustration, warm tones. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
15,SG02,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same Japanese apartment cross-section with a subtle warm glow inside, contrasting with cooler exterior. Educational clarity, no alarm. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
16,SG02,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) looks forward with calm interest, as if about to learn 3 practical points. Same character, same living room setting. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
17,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A glass of water on a Japanese kitchen counter, morning light. The glass is nearly full, untouched. Concept: dehydration starts before thirst. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
18,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A timeline-like illustration: body water level dropping before the thirst signal arrives. Simple symbolic diagram, warm colors, educational. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
19,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) sits at a kitchen table, not feeling thirsty but looking slightly tired. Morning light, Japanese kitchen. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
20,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same kitchen scene. The woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) looks at her untouched water glass with mild realization. Calm moment of awareness. Same character, same kitchen. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
21,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) near a bathroom mirror, about to check her lips and tongue. Japanese bathroom with simple mirror. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
22,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up: lips and open mouth reflected in a bathroom mirror. Simple observation moment. Japanese bathroom tiles visible. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
23,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a mirror reflection showing dry lips. Clean, clear illustration focused on the observation. Japanese bathroom setting. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
24,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of dry, slightly chapped lips in mirror reflection, a practical sign to check. Clean illustration. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
25,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) lightly touches under her arm area through clothing, checking for dryness. Standing in Japanese bedroom. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
26,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a hand touching fabric near underarm area, checking moisture. Simple, dignified illustration. Indoor Japanese setting. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
27,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same bedroom. The woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) checks while getting dressed, a natural daily moment. Same character, same room. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
28,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) sitting on bed edge, looking slightly fatigued, rubbing one calf gently. Morning bedroom scene. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
29,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same scene. She pauses and considers whether her tiredness might mean something. Thoughtful expression. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
30,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a Japanese toilet and a small notepad nearby, suggesting counting bathroom visits. Clean domestic bathroom. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
31,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Simple symbolic illustration: a body outline with water droplet icons showing conservation mode. Clean educational metaphor. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
32,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a hand gently pinching skin on the back of the other hand. Simple demonstration illustration. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
33,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) looks at her hand thoughtfully, skin test is just a reference point. Calm expression. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
34,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Simple illustration: a urine color chart concept, but with a gentle question mark overlay indicating it is not always reliable for seniors. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
35,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same color chart concept with a soft caution note feel, not all signs work the same for every age. Clean educational tone. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
36,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of the same chart with a gentle indication suggesting not to rely on color alone. Educational, no alarm. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
37,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) pouring water from a pitcher into a glass at the kitchen table. Routine hydration moment. Same character, same kitchen. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
38,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A simple visual timeline showing 6 hydration moments through the day: icons for waking, meals, bath, outing, medicine, bedtime. Clean layout. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
39,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same timeline detail: morning wake-up icon highlighted with a water glass icon. Practical, friendly illustration. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
40,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same kitchen. The woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) drinks from a glass at the kitchen table, forming a habit. Morning light. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
41,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) drinks from a glass at the kitchen table, calm routine. Same character, same kitchen. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
42,SG03,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) smiles gently, holding her glass. The habit is forming. Same character, same kitchen. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
43,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a glass being filled halfway, showing the recommended portion size. Kitchen counter, Japanese domestic setting. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
44,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same kitchen. A small amount poured into a glass, emphasis on moderation. Same setting. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
45,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a small measuring cup next to a regular glass, showing modest portion. Japanese kitchen counter. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
46,SG03,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. A simple daily water intake illustration: a measuring container showing approximately 1000-1500ml range. Clean educational layout. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
47,SG03,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) speaking with a pharmacist at a Japanese pharmacy counter, asking about water intake for her condition. Calm consultation scene. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
48,SG03,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a clinic desk with a prescription pad and a glass of water, consultation scene. Japanese clinic interior. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
49,SG04,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Japanese living room in summer. The AC is running but the room still feels warm. Warm color tones dominate. Empty room view. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
50,SG04,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) sitting comfortably, believing the room is fine. AC visible, but warm light suggests hidden heat. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
51,SG04,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same room, wider angle reveals sun-heated wall on one side. The comfort is deceptive. Same room continuity. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
52,SG04,process_metaphor,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Cross-section illustration of a Japanese apartment wall absorbing afternoon heat. Simple architectural diagram with warm color gradient inside the wall. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
53,SG04,comparison_pair,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same concept: the heated wall still radiating warmth in the evening while exterior cools. Before-after time comparison in one image. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
54,SG04,environment_bridge,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The room at evening. Outside is darker and cooler, but interior walls still glow with stored heat. Warm interior tones. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
55,SG04,host_anchor,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) looking comfortable despite room being warm. A subtle gap between her comfort and actual temperature. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
56,SG04,comparison_pair,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Split composition: left side shows the woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) feeling fine, right side shows a thermo-hygrometer reading 31 degrees. Gentle contrast. Same character. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
57,SG04,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Close-up of a digital thermo-hygrometer being placed on a Japanese room shelf at eye level. Clear display, practical placement. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
58,SG04,object_focus,no_host,no_readable_text,,generate_locked,"Generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. Same thermo-hygrometer on shelf with large digital numbers visible. Simple, accessible device for daily checking. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
59,SG04,everyday_example,host,no_readable_text,,reference_first_locked,"Using the provided reference image(s), generate a illustrated lifestyle handbook in retro-clean 2D style, warm domestic scenes, senior-friendly, flat soft colors, object clarity, minimal clutter. The elderly woman (silver-gray hair, gentle wrinkles around eyes and mouth, relaxed mature posture, weathered hands) checking the thermo-hygrometer on the shelf. Building a daily habit. Same character, same room. The character MUST appear the SAME age as the reference. NO youth reduction. No readable text. Avoid speech pose, lip sync, doctor costume, photorealistic drift, random English signage, youth drift, smooth-skin bias, decorative clutter."
