unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
12,first_frame_only,environment_breathing_pan,6,contrast,the surrounding environment,"Solution demo beat 12. Calm breathing pan across the room. Background elements drift softly focusing on the surrounding environment. Dust motes or curtains shift very slightly in the air. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 12]"
13,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 13. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 13]"
14,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 14. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 14]"
15,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 15. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 15]"
16,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 16. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 16]"
17,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 17. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 17]"
18,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 18. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 18]"
19,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 19. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 19]"
20,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Focus beat 20. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 20]"
21,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 21. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 21]"
22,first_frame_only,environment_breathing_pan,6,contrast,the surrounding environment,"Detail beat 22. Calm breathing pan across the room. Background elements drift softly focusing on the surrounding environment. Dust motes or curtains shift very slightly in the air. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 22]"
23,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Context beat 23. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 23]"
24,first_frame_only,host_gentle_push,6,expert_emphasis,the host explaining,"Expert emphasis beat 24. Slow, reassuring push toward the host. The host gives a subtle nod and gentle hand gesture focusing on the host explaining. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 24]"
25,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 25. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 25]"
26,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 26. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 26]"
27,first_frame_only,object_inspection_push,4,checklist,the focused object,"Attention beat 27. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 27]"
28,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 28. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 28]"
29,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 29. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 29]"
30,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 30. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 30]"
31,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 31. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 31]"
32,first_frame_only,object_inspection_push,4,checklist,the focused object,"Focus beat 32. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 32]"
33,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Attention beat 33. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 33]"
34,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 34. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 34]"
35,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 35. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 35]"
36,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 36. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 36]"
37,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 37. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 37]"
38,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 38. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 38]"
39,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 39. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 39]"
40,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 40. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 40]"
41,first_frame_only,object_inspection_push,4,checklist,the focused object,"Context beat 41. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 41]"
42,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 42. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 42]"
43,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 43. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 43]"
44,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 44. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 44]"
45,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 45. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 45]"
46,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 46. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 46]"
47,first_frame_only,object_inspection_push,4,checklist,the focused object,"Context beat 47. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 47]"
48,first_frame_only,object_inspection_push,4,checklist,the focused object,"Solution demo beat 48. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 48]"
49,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 49. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 49]"
50,first_frame_only,object_inspection_push,4,checklist,the focused object,"Focus beat 50. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 50]"
51,first_frame_only,object_inspection_push,4,checklist,the focused object,"Attention beat 51. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 51]"
52,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 52. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 52]"
53,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 53. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 53]"
54,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 54. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 54]"
55,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 55. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 55]"
56,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 56. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 56]"
57,first_frame_only,object_inspection_push,4,checklist,the focused object,"Attention beat 57. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 57]"
58,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 58. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 58]"
59,first_frame_only,object_inspection_push,4,checklist,the focused object,"Context beat 59. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 59]"
60,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 60. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 60]"
61,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 61. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 61]"
62,first_frame_only,object_inspection_push,4,checklist,the focused object,"Focus beat 62. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 62]"
63,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 63. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 63]"
64,first_frame_only,environment_breathing_pan,6,contrast,the surrounding environment,"Detail beat 64. Calm breathing pan across the room. Background elements drift softly focusing on the surrounding environment. Dust motes or curtains shift very slightly in the air. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 64]"
65,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 65. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 65]"
66,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 66. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 66]"
67,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Observation beat 67. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 67]"
68,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Focus beat 68. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 68]"
69,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 69. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 69]"
70,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 70. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 70]"
71,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 71. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 71]"
72,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Solution demo beat 72. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 72]"
73,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 73. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 73]"
74,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Focus beat 74. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 74]"
75,first_frame_only,process_layer_drift,6,solution_demo,the visual metaphor,"Attention beat 75. Gentle slow push forward. The subject performs a subtle, calm micro-movement focusing on the visual metaphor. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 75]"
76,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Detail beat 76. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 76]"
77,first_frame_only,object_inspection_push,4,checklist,the focused object,"Context beat 77. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 77]"
78,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Solution demo beat 78. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 78]"
79,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Observation beat 79. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 79]"
80,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 80. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 80]"
81,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Attention beat 81. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 81]"
82,first_frame_only,object_inspection_push,4,checklist,the focused object,"Detail beat 82. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 82]"
83,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Context beat 83. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 83]"
84,first_last_frame_transition,comparison_reveal_shift,8,contrast,the contrasted items,"Contrast beat 84. Slow pan to reveal the contrast. Both sides of the comparison hold steady focusing on the contrasted items. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 84]"
85,first_frame_only,object_inspection_push,4,checklist,the focused object,"Observation beat 85. Slow macro drift over the object. The object remains perfectly still focusing on the focused object. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 85]"
86,first_frame_only,daily_action_follow,6,solution_demo,the subject action,"Focus beat 86. Smooth lateral follow. The subject continues their everyday task naturally focusing on the subject action. Soft lighting remains stable. Preserve the warm, calm editorial mood of the image exactly. (Silent video, no audio). No lip sync, no direct-to-camera speech, no mouth-open speaking pose, no new readable text. [Context 86]"
