unit_index,i2v_mode,motion_strategy,recommended_duration_sec,motion_role,attention_target,prompt_video_veo3
10,first_frame_only,object_inspection_push,4,checklist,shoes and hands-free bag,"Motion beat 011 uses checklist focus on shoes and hands-free bag. Use a slow push-in toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
11,first_frame_only,daily_action_follow,6,contrast,prepared items,"Motion beat 012 uses contrast focus on prepared items. Use a gentle left-to-right pan toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
12,first_frame_only,daily_pause_observe,4,solution_demo,prepared items,"Motion beat 013 uses solution_demo focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
13,first_frame_only,object_in_use_micro,6,expert_emphasis,prepared items,"Motion beat 014 uses expert_emphasis focus on prepared items. Use a small parallax drift toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
14,first_frame_only,environment_observe_tilt,6,checklist,prepared bag near the door,"Motion beat 015 uses checklist focus on prepared bag near the door. Use a steady close-up hold with slight settling toward prepared bag near the door; the bag strap sways slightly and then becomes still. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
15,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,prepared bag near the door,"Motion beat 016 uses solution_demo focus on prepared bag near the door. Use a slow push-in toward prepared bag near the door; the bag strap sways slightly and then becomes still. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
16,first_frame_only,process_layer_drift,6,contrast,shoes and hands-free bag,"Motion beat 017 uses contrast focus on shoes and hands-free bag. Use a gentle left-to-right pan toward shoes and hands-free bag; the shoe toe turns slightly while the bag strap is adjusted. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
17,first_frame_only,host_listening_drift,6,checklist,prepared items,"Motion beat 018 uses checklist focus on prepared items. Use a soft downward tilt toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
18,first_frame_only,environment_breathing_pan,6,expert_emphasis,prepared items,"Motion beat 019 uses expert_emphasis focus on prepared items. Use a small parallax drift toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
19,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,prepared items,"Motion beat 020 uses solution_demo focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
20,first_frame_only,object_inspection_push,4,checklist,prepared items,"Motion beat 021 uses checklist focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
21,first_frame_only,daily_action_follow,6,contrast,prepared items,"Motion beat 022 uses contrast focus on prepared items. Use a gentle left-to-right pan toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
22,first_frame_only,daily_pause_observe,4,solution_demo,organized pouches,"Motion beat 023 uses solution_demo focus on organized pouches. Use a soft downward tilt toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
23,first_frame_only,object_in_use_micro,6,expert_emphasis,reception pouch,"Motion beat 024 uses expert_emphasis focus on reception pouch. Use a small parallax drift toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
24,first_frame_only,environment_observe_tilt,6,checklist,reception pouch,"Motion beat 025 uses checklist focus on reception pouch. Use a steady close-up hold with slight settling toward reception pouch; the hands gently slide the pouch closer to the camera. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
25,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,reception pouch,"Motion beat 026 uses solution_demo focus on reception pouch. Use a slow push-in toward reception pouch; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
26,first_frame_only,process_layer_drift,6,contrast,reception pouch,"Motion beat 027 uses contrast focus on reception pouch. Use a gentle left-to-right pan toward reception pouch; the hands gently slide the pouch closer to the camera. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
27,first_frame_only,host_listening_drift,6,checklist,reception pouch,"Motion beat 028 uses checklist focus on reception pouch. Use a soft downward tilt toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
28,first_frame_only,environment_breathing_pan,6,expert_emphasis,reception pouch,"Motion beat 029 uses expert_emphasis focus on reception pouch. Use a small parallax drift toward reception pouch; the hands gently slide the pouch closer to the camera. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
29,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,reception pouch,"Motion beat 030 uses solution_demo focus on reception pouch. Use a steady close-up hold with slight settling toward reception pouch; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
30,first_frame_only,object_inspection_push,4,checklist,reception pouch,"Motion beat 031 uses checklist focus on reception pouch. Use a slow push-in toward reception pouch; the hands gently slide the pouch closer to the camera. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
31,first_frame_only,daily_action_follow,6,contrast,reception pouch,"Motion beat 032 uses contrast focus on reception pouch. Use a gentle left-to-right pan toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
32,first_frame_only,daily_pause_observe,4,solution_demo,reception pouch,"Motion beat 033 uses solution_demo focus on reception pouch. Use a soft downward tilt toward reception pouch; the hands gently slide the pouch closer to the camera. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
33,first_frame_only,object_in_use_micro,6,expert_emphasis,reception pouch,"Motion beat 034 uses expert_emphasis focus on reception pouch. Use a small parallax drift toward reception pouch; the hands gently slide the pouch closer to the camera. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
34,first_frame_only,environment_observe_tilt,6,checklist,prepared items,"Motion beat 035 uses checklist focus on prepared items. Use a steady close-up hold with slight settling toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
35,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,reception pouch,"Motion beat 036 uses solution_demo focus on reception pouch. Use a slow push-in toward reception pouch; the hands gently slide the pouch closer to the camera. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
36,first_frame_only,process_layer_drift,6,contrast,medicine pouch,"Motion beat 037 uses contrast focus on medicine pouch. Use a gentle left-to-right pan toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
37,first_frame_only,host_listening_drift,6,checklist,medicine pouch,"Motion beat 038 uses checklist focus on medicine pouch. Use a soft downward tilt toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
38,first_frame_only,environment_breathing_pan,6,expert_emphasis,medicine pouch,"Motion beat 039 uses expert_emphasis focus on medicine pouch. Use a small parallax drift toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
39,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,medicine pouch,"Motion beat 040 uses solution_demo focus on medicine pouch. Use a steady close-up hold with slight settling toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
40,first_frame_only,object_inspection_push,4,checklist,medicine pouch,"Motion beat 041 uses checklist focus on medicine pouch. Use a slow push-in toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
41,first_frame_only,daily_action_follow,6,contrast,medicine pouch,"Motion beat 042 uses contrast focus on medicine pouch. Use a gentle left-to-right pan toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
42,first_frame_only,daily_pause_observe,4,solution_demo,medicine pouch,"Motion beat 043 uses solution_demo focus on medicine pouch. Use a soft downward tilt toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
43,first_frame_only,object_in_use_micro,6,expert_emphasis,medicine pouch,"Motion beat 044 uses expert_emphasis focus on medicine pouch. Use a small parallax drift toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
44,first_frame_only,environment_observe_tilt,6,checklist,medicine pouch,"Motion beat 045 uses checklist focus on medicine pouch. Use a steady close-up hold with slight settling toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
45,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,medicine pouch,"Motion beat 046 uses solution_demo focus on medicine pouch. Use a slow push-in toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
46,first_frame_only,process_layer_drift,6,contrast,blank memo paper and pen,"Motion beat 047 uses contrast focus on blank memo paper and pen. Use a gentle left-to-right pan toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
47,first_frame_only,host_listening_drift,6,checklist,blank memo paper and pen,"Motion beat 048 uses checklist focus on blank memo paper and pen. Use a soft downward tilt toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
48,first_frame_only,environment_breathing_pan,6,expert_emphasis,prepared items,"Motion beat 049 uses expert_emphasis focus on prepared items. Use a small parallax drift toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
49,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,blank memo paper and pen,"Motion beat 050 uses solution_demo focus on blank memo paper and pen. Use a steady close-up hold with slight settling toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
50,first_frame_only,object_inspection_push,4,checklist,prepared items,"Motion beat 051 uses checklist focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
51,first_frame_only,daily_action_follow,6,contrast,prepared items,"Motion beat 052 uses contrast focus on prepared items. Use a gentle left-to-right pan toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
52,first_frame_only,daily_pause_observe,4,solution_demo,medicine pouch,"Motion beat 053 uses solution_demo focus on medicine pouch. Use a soft downward tilt toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
53,first_frame_only,object_in_use_micro,6,expert_emphasis,blank memo paper and pen,"Motion beat 054 uses expert_emphasis focus on blank memo paper and pen. Use a small parallax drift toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
54,first_frame_only,environment_observe_tilt,6,checklist,blank memo paper and pen,"Motion beat 055 uses checklist focus on blank memo paper and pen. Use a steady close-up hold with slight settling toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
55,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,blank memo paper and pen,"Motion beat 056 uses solution_demo focus on blank memo paper and pen. Use a slow push-in toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
56,first_frame_only,process_layer_drift,6,contrast,medicine pouch,"Motion beat 057 uses contrast focus on medicine pouch. Use a gentle left-to-right pan toward medicine pouch; the hands place the booklet into the pouch and stop neatly. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
57,first_frame_only,host_listening_drift,6,checklist,blank memo paper and pen,"Motion beat 058 uses checklist focus on blank memo paper and pen. Use a soft downward tilt toward blank memo paper and pen; the pen hand finishes a small stroke and rests beside the blank memo. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
58,first_frame_only,environment_breathing_pan,6,expert_emphasis,organized pouches,"Motion beat 059 uses expert_emphasis focus on organized pouches. Use a small parallax drift toward organized pouches; the pouches settle into a neat row without showing any readable writing. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
59,first_last_frame_transition,comparison_reveal_shift,8,solution_demo,comfort items,"Motion beat 060 uses solution_demo focus on comfort items. Use a steady close-up hold with slight settling toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
60,first_frame_only,object_inspection_push,4,checklist,prepared items,"Motion beat 061 uses checklist focus on prepared items. Use a slow push-in toward prepared items; the camera drifts across the prepared items and settles on the pouch. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
61,first_frame_only,daily_action_follow,6,contrast,comfort items,"Motion beat 062 uses contrast focus on comfort items. Use a gentle left-to-right pan toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
62,first_frame_only,daily_pause_observe,4,solution_demo,comfort items,"Motion beat 063 uses solution_demo focus on comfort items. Use a soft downward tilt toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let subtle shadow movement keeps the frame calm. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
63,first_frame_only,object_in_use_micro,6,expert_emphasis,comfort items,"Motion beat 064 uses expert_emphasis focus on comfort items. Use a small parallax drift toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let the background remains still and uncluttered. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
64,first_frame_only,environment_observe_tilt,6,checklist,comfort items,"Motion beat 065 uses checklist focus on comfort items. Use a steady close-up hold with slight settling toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let soft morning light changes slightly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
65,first_last_frame_transition,comparison_parallax_hold,8,solution_demo,comfort items,"Motion beat 066 uses solution_demo focus on comfort items. Use a slow push-in toward comfort items; the cardigan edge and water bottle shift slightly as the items are arranged. Let a curtain edge moves almost imperceptibly. Preserve the original illustration style, senior age cues, composition, and all source-image details. Do not create any new readable text. (Silent video, no audio). No speech, no lip sync, no direct-to-camera performance, no singing, no chanting, no scene redesign, no character redesign, no panic."
