unit_index,scene_group_id,scene_archetype,host_usage,visible_text_policy,visible_text_exact,prompt_mode,prompt_img_nano,retention_beat_type,attention_target,visual_hook_override_used
10,outing_safety,outing_safety,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a clearly senior Japanese person checking comfortable walking shoes and a hands-free shoulder bag. Setting: Japanese genkan with handrail and tidy floor. The image supports this spoken line about: そして、帰り道まで安全に過ごすためのものを、一緒に見直していきましょう。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,shoes and hands-free bag,false
11,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 全部を一度に完璧にそろえる必要はありません。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
12,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 次の通院前に、ひとつだけでも整えてみてください。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
13,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: まず、なぜ持ち物の準備が大切なのでしょうか。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
14,genkan_preparation,genkan_preparation,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a prepared clinic bag placed near the genkan beside stable walking shoes and house keys. Setting: ordinary Japanese apartment entryway. The image supports this spoken line about: 一番の理由は、当日の朝の焦りを減らすためです。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared bag near the door,false
15,genkan_preparation,genkan_preparation,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a prepared clinic bag placed near the genkan beside stable walking shoes and house keys. Setting: ordinary Japanese apartment entryway. The image supports this spoken line about: 年齢を重ねると、朝の支度に思ったより時間がかかることがあります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared bag near the door,false
16,outing_safety,outing_safety,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a clearly senior Japanese person checking comfortable walking shoes and a hands-free shoulder bag. Setting: Japanese genkan with handrail and tidy floor. The image supports this spoken line about: 靴を履く、鍵を閉める、バスの時間を確認する。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,shoes and hands-free bag,false
17,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: それだけでも、少し急いでしまう日があります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
18,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: そこへ探し物が加わると、足元への注意が薄れやすくなります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
19,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 消費者庁なども、高齢者の転倒や事故への注意を呼びかけています。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
20,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: これは、怖がらせるための話ではありません。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
21,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 落ち着いて出かける準備が、日々の安全確認につながるということです。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
22,checklist_table,checklist_table,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show five small unlabeled pouches grouped neatly as a visual checklist without readable writing. Setting: Japanese dining table under soft light. The image supports this spoken line about: では、ひとつめの確認です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,organized pouches,false
23,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: ひとつめは、受付で必要になるカード類です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
24,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 今は、医療機関の受付では、マイナンバーカードの保険証か、資格確認書を使う場面が基本になっています。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
25,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: どちらを使うかは、ご自身の状況や加入している保険によって変わります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
26,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 不安な方は、次の通院前に、医療機関や保険者へ確認しておくと安心です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
27,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: それに加えて、診察券、予約票、紹介状がある場合は紹介状も確認しましょう。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
28,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: これらは、ひとつの薄いケースにまとめておくと取り出しやすくなります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
29,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 予約票がスマートフォンの画面だけにある方は、充電も一緒に確認しておきましょう。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
30,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 紙でもらっている方は、折れ曲がらないようにケースへ入れておくと安心です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
31,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 高齢者医療や介護保険の書類など、病院から指定されたものがある場合もあります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
32,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 必要かどうか迷う書類は、次回だけ持っていき、受付で確認してから整理してもよいでしょう。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
33,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: ケースの中に入れたら、バッグのいつも同じ場所へ入れておきます。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
34,calm_explainer,calm_explainer,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show a calm domestic preparation scene with a senior-safe clinic bag and small pouches. Setting: warm Japanese living room with minimal clutter. The image supports this spoken line about: 毎回場所を変えないことが、探し物を減らす小さなコツです。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,prepared items,false
35,object_closeup,object_closeup,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands arranging generic blank reception cards and a small appointment paper into a clear pouch. Setting: Japanese dining table prepared the night before. The image supports this spoken line about: 受付で慌てないだけでも、通院の始まりは少し楽になります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,reception pouch,false
36,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: ふたつめの確認は、お薬手帳と今飲んでいる薬の情報です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
37,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: お薬手帳は、できるだけ一冊にまとめておくことがすすめられています。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
38,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: 複数の病院や薬局を利用していると、薬の情報が分かれやすくなります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
39,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: 一冊にまとまっていると、医師や薬剤師が薬の全体を確認しやすくなります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
40,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: 飲み合わせや副作用の確認にも役立ちます。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
41,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: いつも飲んでいる薬がある方は、薬そのものを持つ必要があるか、事前に確認しておきましょう。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
42,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: 薬の名前がわかる説明書や、薬袋を持っていくとよい場合もあります。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
43,medicine_pouch,medicine_pouch,no_host,no_readable_text,,line_context_locked,"Generate a still keyframe in retro-clean 2D illustrated lifestyle handbook style, warm domestic Japanese details, flat soft colors, clean outlines, minimal clutter, senior-friendly object clarity. Show wrinkled senior hands placing a medicine notebook-like booklet and generic medicine packets into a small pouch. Setting: clean Japanese kitchen table with a teacup nearby. The image supports this spoken line about: サプリメントや市販薬を使っている方も、診察で聞かれたら伝えられるようにしておくと安心です。 Keep the composition simple, practical, and reassuring, with Japanese domestic or clinic-adjacent details only. Use object clarity and warm soft colors. No readable text, no numbers, no logos, no photorealism, no hospital emergency, no panic, no youth reduction.",,medicine pouch,false
